Bin,Voltage[V],Current[A],Limit,Ihlal,Band
179,153.1227,4.5100890750000004e-05,160.0,False,25us
180,157.7361425,3.3722445e-05,160.0,False,25us
181,161.4576976470588,2.0889074647058824e-05,160.0,False,25us
182,163.20116818181816,9.907665181818183e-06,160.0,False,25us
183,163.7425215789474,-9.736702661052633e-07,160.0,False,25us
184,162.796065,-1.2953948499999999e-05,160.0,False,25us
185,160.38138,-2.4670417e-05,160.0,False,25us
186,155.74135,-3.84346645e-05,160.0,False,25us
187,149.40262,-5.212987e-05,160.0,False,25us
188,144.08276,-6.1212384e-05,160.0,False,25us
189,137.97835,-7.026406e-05,160.0,False,25us
190,127.343995,-8.377073249999999e-05,160.0,False,25us
191,115.39822,-9.597611e-05,160.0,False,25us
192,106.95935,-9.831474e-05,160.0,False,25us
193,96.076705,-9.0968068e-05,160.0,False,25us
194,87.941086,-8.310805e-05,160.0,False,25us
195,78.658375,-7.413624e-05,160.0,False,25us
196,70.490585,-6.6241875e-05,160.0,False,25us
197,65.708885,-6.1619976e-05,160.0,False,25us
198,61.357475,-5.7413767e-05,160.0,False,25us
199,55.5787945,-5.1827534e-05,160.0,False,25us
200,50.452354,-4.68715e-05,160.0,False,25us
201,47.414433,-4.393437e-05,160.0,False,25us
202,43.4553126,0.00010051102843999999,160.0,False,25us
203,51.01609858333334,0.00017053961283333333,160.0,False,25us
204,64.28544171428571,0.00015214619,160.0,False,25us
205,79.24280999999999,0.00013517511999999997,160.0,False,25us
206,93.173843,0.000120793785,160.0,False,25us
207,106.99954,0.000106631718,160.0,False,25us
208,115.41707,9.769682e-05,160.0,False,25us
209,127.40759,8.38962975e-05,160.0,False,25us
210,138.04962,7.0236456e-05,160.0,False,25us
211,144.1506,6.114986e-05,160.0,False,25us
212,149.46402,5.2042287e-05,160.0,False,25us
213,156.5249638888889,3.723854188888889e-05,160.0,False,25us
214,159.719385,2.7562529e-05,160.0,False,25us
215,162.378615,1.4605372499999999e-05,160.0,False,25us
216,163.55956,7.520946e-07,160.0,False,25us
217,163.18591,-8.486437e-06,160.0,False,25us
218,160.84829000000002,-2.2318235e-05,160.0,False,25us
219,156.75574,-3.6101632e-05,160.0,False,25us
220,152.88193,-4.524735e-05,160.0,False,25us
221,148.17453,-5.435633e-05,160.0,False,25us
222,141.32863625000002,-6.567822375e-05,160.0,False,25us
223,134.59374433385454,0.025541145591784338,160.0,False,25us
224,160.97248700864907,0.07472347862393931,160.0,False,25us
225,168.56518301121451,0.10759920778830383,160.0,False,25us
226,165.47015608542426,0.1350762671156214,160.0,False,25us
227,175.75748552623497,0.1851102180923501,160.0,False,25us
228,149.13940178909382,0.13065442714621578,160.0,False,25us
229,155.23331801701775,0.16738960817518397,160.0,False,25us
230,155.6429343385857,0.12234630005010265,160.0,False,25us
231,144.70135810081558,0.11291433553020201,160.0,False,25us
232,120.6512933047421,0.03706519206840511,160.0,False,25us
233,9.28996341486927,0.008731316810747422,65.23654522214261,False,25us
234,105.21521888819498,0.05016776922981939,160.0,False,25us
235,147.3131085999106,0.13862278301315764,160.0,False,25us
236,167.64523504368984,0.1593687298059995,160.0,False,25us
237,153.79614579723474,0.29178219903563146,160.0,False,25us
238,170.5330855438239,0.224660928469344,160.0,False,25us
239,173.38638682518027,0.390802385636209,160.0,False,25us
240,169.15139729010826,0.2873966159904061,160.0,False,25us
241,155.86727176002807,0.4962955131811042,160.0,False,25us
242,177.68923457295753,0.35111707355774235,160.0,False,25us
243,155.0685323749232,0.5595512568683587,160.0,False,25us
244,165.25155957993252,0.43246592989221555,160.0,False,25us
245,161.94368261428323,0.7199776282701864,160.0,False,25us
246,171.9642023341345,0.6154097552941177,160.0,False,25us
247,160.88568693274263,0.8491743274183007,160.0,False,25us
248,164.3771117859065,0.7396892921753248,160.0,False,25us
249,153.16901915930677,1.013842031270627,160.0,False,25us
250,154.1300651806268,0.8394072584026623,160.0,False,25us
251,147.89674408658138,1.099464648156146,160.0,False,25us
252,158.03583702229966,0.9194331422797928,160.0,False,25us
253,142.39099419346817,1.1449195256951423,160.0,False,25us
254,160.14327829965944,0.954029450797227,160.0,False,25us
255,152.35957883281134,1.1540718075634517,160.0,False,25us
256,167.28243389132473,0.9056963884814215,160.0,False,25us
257,157.97314962988733,1.0190327928790788,160.0,False,25us
258,161.22733163824043,0.9372805866714286,160.0,False,25us
259,150.15096408778035,0.8632248786270491,160.0,False,25us
260,156.35520537252958,0.7903339825034578,160.0,False,25us
261,160.4331245150522,0.6682906626295586,160.0,False,25us
262,160.69273567840685,0.580952023557047,160.0,False,25us
263,183.89492681360747,0.4893813122439024,160.0,False,25us
264,156.98833931241947,0.3392975501832524,160.0,False,25us
265,129.0448101854922,0.2059639466296296,160.0,False,25us
266,33.91552418062258,0.06995879318378379,142.70248287877615,False,25us
267,78.13502414576833,0.04098661650530681,160.0,False,25us
268,160.8984818991731,0.2054770343086714,160.0,False,25us
269,155.5390471404568,0.36063960438602943,160.0,False,25us
270,178.33520290587575,0.518110300631068,160.0,False,25us
271,156.86723039110748,0.7012249700809716,160.0,False,25us
272,152.15300159974143,0.8889893762771739,160.0,False,25us
273,173.8939146166934,1.0501425281698114,160.0,False,25us
274,150.27638190167517,1.2444441317588653,160.0,False,25us
275,145.78443279630713,1.421394479489796,160.0,False,25us
